Index,Ticker,Stock Name,Sector,Industry,PE Ratio,Employees,Beta,Market Cap,VALUE RATIO,VALUE RATIO w/o BETA,EBIT GROWTH YoY,VALUE RATIO WITHOUT EMPLOYEES,
1896,OXLC,Oxford Lane Capital Corp. (BDC),Financial Services,Asset Management,4.003968254,0,1.132,"$1,820,236,000.00 ",0,0,2.564405133,"$514,616,256.00 ",
1909,CMBT,CMB.TECH NV (Unknown - Possibly Tech),Miscellaneous,0,1.559463987,0,-0.261,"$1,780,971,009.00 ",0,0,4.194345493,"($298,072,566.74)",
1912,EVT,EATON VANCE TAX ADVANTAGED DIVIDEND INCOME FUND (CEF-Financial),Financial Services,Asset Management - Income,7.822819672,0,1.232,"$1,772,873,775.00 ",0,0,0.743068351,"$279,206,294.20 ",
1918,NUV,NUVEEN MUNICIPAL VALUE FUND INC (CEF-Financial),Financial Services,Asset Management,-854,0,0.362,"$1,766,182,420.00 ",0,0,1.231801247,"($748,662.81)",
1975,TY,TRI-CONTINENTAL Corp (CEF-Financial),Financial Services,Asset Management,5.765434381,0,0.96,"$1,661,779,742.00 ",0,0,1,"$276,702,230.38 ",
1982,ETV,Eaton Vance Tax-Managed Buy-Write Opp Fund (CEF-Financial),Financial Services,Asset Management,6.470319635,0,0.872,"$1,650,915,700.00 ",0,0,1.866079548,"$222,492,638.94 ",
1985,NEP,"NEXTERA ENERGY PARTNERS, LP (Renewable YieldCo)",Utilities,Renewable Utilities,8.089449541,0,1.067,"$1,648,072,604.00 ",0,0,-1.224,"$217,381,103.57 ",
1997,NAC,Nuveen California Quality Municipal Income Fund (CEF-Fin),Financial Services,Asset Management - Income,14.59986988,0,0.462,"$1,617,991,960.00 ",0,0,0.546824567,"$51,199,927.92 ",
2002,RQI,COHEN & STEERS QUALITY INCOME REALTY FUND INC (CEF-Real Estate),Financial Services,Asset Management - Income,14.86668306,0,1.533,"$1,607,208,720.00 ",0,0,1.443590699,"$165,729,702.98 ",
2027,GAB,GABELLI EQUITY TRUST INC (CEF-Financial),Financial Services,Asset Management,12.76190476,0,0.916,"$1,552,354,720.00 ",0,0,1.062282356,"$111,421,997.76 ",
2046,BSTZ,BlackRock Science & Technology Term Trust (CEF-Financial/Tech),Financial Services,Asset Management,7.41218638,0,1.3975472,"$1,514,899,783.00 ",0,0,1.21018439,"$285,630,155.73 ",
2053,GSBD,"Goldman Sachs BDC, Inc. (BDC)",Financial Services,Asset Management,18.3,0,1.118,"$1,501,823,869.00 ",0,0,1.611293556,"$91,750,769.70 ",
2068,BDJ,BlackRock Enhanced Equity Dividend Trust (CEF-Financial),Financial Services,Asset Management,7.941553398,0,1.016,"$1,466,374,560.00 ",0,0,1.471118695,"$187,600,142.98 ",
2097,BXMX,Nuveen S&P 500 BuyWrite Income Fund (CEF-Financial),Financial Services,Asset Management - Income,5.854077253,0,0.912,"$1,417,518,986.00 ",0,0,1.065041659,"$220,833,661.63 ",
2105,HYT,"BLACKROCK CORPORATE HIGH YIELD FUND, INC. (CEF-Financial)",Financial Services,Asset Management,6.799295775,0,0.76,"$1,400,669,100.00 ",0,0,2.044349643,"$156,561,583.91 ",
2111,ETG,EATON VANCE TAX ADVANTAGED GLOBAL DIVIDEND INCOME FUND (CEF-Financial),Financial Services,Asset Management - Income,6.183851351,0,1.321,"$1,391,553,800.00 ",0,0,1.222870023,"$297,264,999.67 ",
4427,RGT,"ROYCE GLOBAL TRUST, INC. (CEF-Fin)",Financial Services,Asset Management - Global,29.48571429,0,0.406,"$1,348,980,664.00 ",0,0,62.61318686,"$18,574,627.16 ",
2149,CMRF,"CIM REAL ESTATE FINANCE TRUST, INC. (Mortgage REIT)",Real Estate,REIT - Retail,-3.911518748,0,2722.791,"$1,322,595,000.00 ",0,0,0.186491088,"($920,652,563,530.80)",
2177,DSL,DoubleLine Income Solutions Fund (CEF-Financial),Financial Services,Asset Management - Income,6.19245,0,0.82,"$1,281,084,432.00 ",0,0,-5.559798973,"$169,640,325.60 ",
2178,QQQX,Nuveen NASDAQ 100 Dynamic Overwrite Fund (CEF-Financial),Financial Services,Asset Management,5.364562118,0,1.1473564,"$1,280,971,098.00 ",0,0,-0.486785252,"$273,970,243.08 ",
2184,MFIC,MidCap Financial Investment Corp (BDC),Financial Services,Asset Management,8.056057866,0,1.55,"$1,256,656,020.00 ",0,0,-0.997425218,"$241,782,874.87 ",
2188,OCSL,Oaktree Specialty Lending Corp (BDC),Financial Services,Financial - Credit Services,20.93408871,0,1.133,"$1,249,306,107.00 ",0,0,0.159077619,"$67,615,258.48 ",
2190,EOS,Eaton Vance Enhanced Equity Income Fund II (CEF-Financial),Financial Services,Asset Management - Income,4.290869565,0,1.211,"$1,241,254,602.00 ",0,0,0.992249655,"$350,315,781.04 ",
2200,ARI,"Apollo Commercial Real Estate Finance, Inc. (Mortgage REIT)",Real Estate,REIT - Mortgage,-9.877777778,0,1.803,"$1,229,066,625.00 ",0,0,-1,"($224,342,678.55)",
2216,NMFC,New Mountain Finance Corp (BDC),Financial Services,Asset Management,10.04954955,0,1.191,"$1,201,999,395.00 ",0,0,0.613871026,"$142,452,283.29 ",
2219,NMZ,NUVEEN MUNICIPAL HIGH INCOME OPPORTUNITY FUND (CEF-Financial),Financial Services,Asset Management - Income,29.56378378,0,0.672,"$1,197,137,370.00 ",0,0,1.227547297,"$27,211,547.70 ",
2226,GAM,GENERAL AMERICAN INVESTORS CO INC (CEF-Financial),Financial Services,Asset Management,3.001471454,0,0.939,"$1,191,566,880.00 ",0,0,2.542223357,"$372,777,591.75 ",
2235,KBDC,"Kayne Anderson BDC, Inc. (BDC)",Miscellaneous,0,9.593023256,0,0,"$1,173,351,337.00 ",0,0,0.560569381,$0.00 ,
2236,JFR,NUVEEN FLOATING RATE INCOME FUND (CEF-Financial),Financial Services,Asset Management - Income,7.564655172,0,0.568,"$1,172,319,720.00 ",0,0,2.230964458,"$88,024,845.26 ",
2245,NFJ,"Virtus Dividend, Interest & Premium Strategy Fund (CEF-Financial)",Financial Services,Asset Management,15.85426096,0,1.131,"$1,158,001,544.00 ",0,0,1.344051447,"$82,608,691.10 ",
2257,EVV,EATON VANCE LTD DURATION INCOME FUND (CEF-Financial),Financial Services,Asset Management - Income,8.52E-08,0,0.695,"$1,146,342,595.00 ",0,0,0.676072539,"$9,346,821,427,021,150.00 ",
2293,BCSF,"Bain Capital Specialty Finance, Inc. (BDC)",Financial Services,Asset Management,8.585858586,0,1.166,"$1,095,945,026.00 ",0,0,0.418224225,"$148,834,491.92 ",
2302,FPF,First Trust Intermediate Duration Preferred & Income Fund (CEF),Financial Services,Asset Management - Income,6.285457746,0,0.8887711,"$1,084,307,796.00 ",0,0,0.919023912,"$153,322,394.57 ",
2337,ARR,"Armour Residential REIT, Inc. (Mortgage REIT)",Real Estate,REIT - Mortgage,7.620408163,0,1.507,"$1,032,123,153.00 ",0,0,1,"$204,111,060.50 ",
2343,FBRT,"Franklin BSP Realty Trust, Inc. (Mortgage REIT)",Real Estate,REIT - Mortgage,13.8990979,0,1.307,"$1,022,195,839.00 ",0,0,1.958631237,"$96,122,062.83 ",
2362,MUC,BLACKROCK MUNIHOLDINGS CALIFORNIA QUALITY FUND (CEF-Financial),Financial Services,Asset Management,26.85,0,0.494,"$1,000,703,938.00 ",0,0,3.300057325,"$18,411,461.65 ",
2364,CCEC,Capital Clean Energy Carriers Corp. (Unknown - Possibly Energy),Industrials,Marine Shipping,9.385786802,0,0.856,"$999,134,812.00 ",0,0,0.113821979,"$91,122,824.02 ",
2368,EAI,"Evolent Health, Inc. (Healthcare IT)",Utilities,Regulated Electric,1.280942598,0,0,"$996,919,886.00 ",0,0,-0.103301894,$0.00 ,
2369,RNP,COHEN & STEERS REIT & PREFERRED & INCOME FUND INC (CEF-RealEstate/Financial),Financial Services,Asset Management - Income,7.013322148,0,1.351,"$994,158,211.00 ",0,0,1.20436886,"$191,508,063.47 ",
2383,BBN,BlackRock Taxable Municipal Bond Trust (CEF-Financial),Financial Services,Asset Management - Bonds,24.79938272,0,0.72,"$981,882,825.00 ",0,0,0.751678934,"$28,506,985.11 ",
2388,BTZ,BLACKROCK CREDIT ALLOCATION INCOME TRUST (CEF-Financial),Financial Services,Asset Management - Income,7.009908945,0,0.809,"$972,926,577.00 ",0,0,1.346835665,"$112,283,569.87 ",
2426,CGBD,"Carlyle Secured Lending, Inc. (BDC)",Financial Services,Asset Management,9.593582888,0,1.646,"$916,822,463.00 ",0,0,0.400906967,"$157,301,999.86 ",
2428,NCDL,Nuveen Churchill Direct Lending Corp. (BDC),Financial Services,Asset Management,7.188034188,0,0,"$914,811,881.00 ",0,0,2.707831307,$0.00 ,
2429,AWF,ALLIANCEBERNSTEIN GLOBAL HIGH INCOME FUND INC (CEF-Financial),Financial Services,Asset Management - Income,1.23E-07,0,0.817,"$912,310,226.00 ",0,0,0.085389598,"$6,063,365,991,816,350.00 ",
2430,CHY,CALAMOS CONVERTIBLE & HIGH INCOME FUND (CEF-Financial),Financial Services,Asset Management - Income,12.0201,0,1.186,"$912,105,600.00 ",0,0,0.905660448,"$89,995,694.01 ",
2435,NRK,NUVEEN NEW YORK AMT-FREE QUALITY MUNICIPAL INCOME FUND (CEF-Fin),Financial Services,Asset Management - Income,1.19E-07,0,0.505,"$906,810,944.00 ",0,0,0.056221915,"$3,833,830,290,589,130.00 ",
2440,ETW,Eaton Vance Tax-Managed Global Buy-Write Opp Fund (CEF-Fin),Financial Services,Asset Management - Global,6.946280992,0,0.977,"$903,965,670.00 ",0,0,1.056258077,"$127,143,497.45 ",
2445,SBR,SABINE ROYALTY TRUST (Oil & Gas Royalties),Energy,Oil & Gas Exploration & Production,9.51577812,0,0.505,"$899,397,017.00 ",0,0,-0.256439354,"$47,730,778.07 ",
2448,PFLT,PennantPark Floating Rate Capital Ltd. (BDC),Financial Services,Asset Management,9.447368421,0,1.675,"$895,137,575.00 ",0,0,0.020442409,"$158,706,146.65 ",
2456,MUI,"BLACKROCK MUNICIPAL INCOME FUND, INC. (CEF-Financial)",Financial Services,Asset Management - Income,347.3163842,0,0.552,"$882,263,186.00 ",0,0,0.103567214,"$1,402,206.46 ",
2460,AOD,abrdn Total Dynamic Dividend Fund (CEF-Financial),Financial Services,Asset Management,11.24666667,0,0.988,"$879,821,695.00 ",0,0,1.355492105,"$77,290,797.37 ",
2469,SLRC,SLR Investment Corp (BDC),Financial Services,Asset Management,8.971751412,0,1.138,"$870,691,416.00 ",0,0,0.989537541,"$110,440,736.25 ",
2470,CHI,CALAMOS CONVERTIBLE OPPORTUNITIES & INCOME FUND (CEF-Financial),Financial Services,Asset Management - Income,12.70430108,0,1.155,"$869,823,696.00 ",0,0,0.966566,"$79,079,231.71 ",
2478,CRF,CORNERSTONE TOTAL RETURN FUND INC (CEF-Financial),Financial Services,Asset Management,6.266666667,0,1.116,"$860,469,150.00 ",0,0,2.379649975,"$153,236,740.11 ",
2484,LENZ,"LENZ Therapeutics, Inc. (Biotech)",Healthcare,Biotechnology,-4.350282486,0,0,"$850,877,846.00 ",0,0,0.30792605,$0.00 ,
2494,CII,"BLACKROCK ENHANCED CAPITAL & INCOME FUND, INC. (CEF-Financial)",Financial Services,Asset Management - Income,5.975653495,0,1.009,"$840,633,696.00 ",0,0,2.407740544,"$141,942,533.98 ",
2497,EOI,Eaton Vance Enhanced Equity Income Fund (CEF-Financial),Financial Services,Asset Management - Income,4.579175705,0,1.08,"$837,931,642.00 ",0,0,-1,"$197,626,435.77 ",
2512,AIO,Virtus Artificial Intelligence & Tech Opp Fund (CEF-Fin/Tech),Financial Services,Asset Management,8.483024911,0,1.0242255,"$815,808,230.00 ",0,0,2.09993609,"$98,499,250.10 ",
2514,NNE,Nano Nuclear Energy Inc. (Nuclear Tech),Industrials,Industrial - Machinery,-71.50165513,0,0,"$815,016,666.00 ",0,0,-4.928737899,$0.00 ,
2521,EMO,ClearBridge Energy Midstream Opp Fund (CEF-Energy/Fin),Financial Services,Asset Management,2.9332893,0,2.3005915,"$804,556,969.00 ",0,0,-0.482749988,"$631,017,514.76 ",
2524,HQH,abrdn Healthcare Investors (CEF-Healthcare/Financial),Financial Services,Asset Management,13.98791304,0,0.736,"$801,013,570.00 ",0,0,0.99389649,"$42,146,815.31 ",
2546,JQC,Nuveen Credit Strategies Income Fund (CEF-Financial),Financial Services,Asset Management - Income,7.930555556,0,0.585,"$774,327,390.00 ",0,0,0.686178525,"$57,118,510.80 ",
2549,MTAL,Metals Acquisition Ltd (Metal Mining),Financial Services,Shell Companies,-3.523489933,0,0.045,"$773,317,422.00 ",0,0,-20.76966864,"($9,876,368.22)",
2555,SSII,"SS Innovations International, Inc. (Med Devices Robotics)",Healthcare,Medical - Devices,-27.41147741,0,0,"$768,888,000.00 ",0,0,-2.639291418,$0.00 ,
2556,HTD,JOHN HANCOCK TAX-ADVANTAGED DIVIDEND INCOME FUND (CEF-Fin),Financial Services,Asset Management - Income,-195.3636364,0,1.04,"$768,048,042.00 ",0,0,1,"($4,088,631.74)",
2559,THQ,abrdn Healthcare Opportunities Fund (CEF-Healthcare/Financial),Financial Services,Asset Management,6.723826715,0,0.91,"$765,203,400.00 ",0,0,-31.2503619,"$103,562,320.02 ",
2568,PHK,PIMCO HIGH INCOME FUND (CEF-Financial),Financial Services,Asset Management - Income,13.18567568,0,0.847,"$758,918,300.00 ",0,0,0.838432085,"$48,750,160.08 ",
2577,FFC,Flaherty & Crumrine PREFERRED & INCOME SECURITIES FUND INC (CEF),Financial Services,Asset Management - Income,4.977564103,0,0.956,"$749,648,124.00 ",0,0,1.546202268,"$143,978,779.92 ",
2583,ECC,Eagle Point Credit Co Inc. (CEF-Financial),Financial Services,Asset Management,5.389860786,0,0.769,"$745,112,097.00 ",0,0,2.15360561,"$106,309,091.34 ",
2590,ACP,abrdn Income Credit Strategies Fund (CEF-Financial),Financial Services,Asset Management - Income,6.501943365,0,1.003,"$732,123,285.00 ",0,0,1.550812515,"$112,938,488.33 ",
2596,TCPC,BlackRock TCP Capital Corp. (BDC),Financial Services,Asset Management,-17.1111334,0,1.513,"$730,520,039.00 ",0,0,0.209846306,"($64,594,015.67)",
4488,OPXS,Optex Systems Holdings Inc (Military Optics),Industrials,Aerospace & Defense,19.21117358,0,0.479,"$728,149,261.00 ",0,0,24.36782006,"$18,155,241.51 ",
2613,KREF,KKR Real Estate Finance Trust Inc. (Mortgage REIT),Real Estate,REIT - Mortgage,-73.06034483,0,1.029,"$719,381,718.00 ",0,0,-1.21303582,"($10,131,950.37)",
2615,CCAP,"Crescent Capital BDC, Inc. (BDC)",Financial Services,Asset Management,6.965827338,0,0.872,"$718,622,485.00 ",0,0,1.946987703,"$89,958,992.16 ",
2619,TDAC,Translational Development Acquisition Corp. (SPAC-Fin),Financial Services,Shell Companies,13.55434678,0,0.094452,"$714,656,227.00 ",0,0,-0.259603795,"$4,980,004.65 ",
2634,IGR,CBRE GLOBAL REAL ESTATE INCOME FUND (CEF-Real Estate/Financial),Financial Services,Asset Management - Income,9.94,0,1.417,"$701,495,190.00 ",0,0,1.081007777,"$100,001,879.70 ",
2636,TRTX,"TPG RE Finance Trust, Inc. (Mortgage REIT)",Real Estate,REIT - Mortgage,11.38811328,0,2.221,"$695,168,943.00 ",0,0,-0.999970288,"$135,577,350.21 ",
2638,BCX,BlackRock Resources & Commodities Strategy Trust (CEF-Financial),Financial Services,Asset Management,18.60869565,0,0.9643368,"$694,266,575.00 ",0,0,-2.216350806,"$35,978,169.55 ",
2646,FDUS,FIDUS INVESTMENT Corp (BDC),Financial Services,Asset Management,7.322463768,0,1.439,"$688,807,557.00 ",0,0,0.547279363,"$135,363,465.89 ",
2650,NXP,NUVEEN SELECT TAX FREE INCOME PORTFOLIO (CEF-Financial),Financial Services,Asset Management - Income,3.07E-07,0,0.34,"$686,783,385.00 ",0,0,0.200037519,"$760,252,881,882,381.00 ",
2655,RA,Brookfield Real Assets Income Fund Inc. (CEF-Financial),Financial Services,Asset Management - Income,9.378571429,0,0.8784978,"$679,696,402.00 ",0,0,1.83596043,"$63,667,670.32 ",
2662,BTO,JOHN HANCOCK FINANCIAL OPPORTUNITIES FUND (CEF-Financial),Financial Services,Asset Management,3.319538017,0,1.409,"$674,441,465.00 ",0,0,1.185340164,"$286,271,167.65 ",
2677,DXYZ,"Destiny Tech100 Inc. (Unknown, likely Tech)",Financial Services,Asset Management,45.70229008,0,2.8877926,"$657,363,860.00 ",0,0,-0.054113173,"$41,536,878.94 ",
2681,NIE,Virtus Equity & Convertible Income Fund (CEF-Financial),Financial Services,Asset Management - Income,2.780588235,0,1.0262043,"$655,040,760.00 ",0,0,1.864638285,"$241,749,438.53 ",
2693,VMO,Invesco Municipal Opportunity Trust (CEF-Financial),Financial Services,Asset Management,15.43741935,0,0.585,"$643,721,482.00 ",0,0,0.008687224,"$24,393,783.60 ",
2697,BOE,BlackRock Enhanced Global Dividend Trust (CEF-Financial),Financial Services,Asset Management - Global,8.352713178,0,0.914,"$640,128,747.00 ",0,0,0,"$70,046,422.32 ",
2706,PCN,PIMCO CORPORATE & INCOME STRATEGY FUND (CEF-Financial),Financial Services,Asset Management - Income,7.216216216,0,0.994,"$633,358,543.00 ",0,0,0.476172358,"$87,242,174.14 ",
2708,FAX,"ABRDN ASIA-PACIFIC INCOME FUND, INC. (CEF-Financial)",Financial Services,Asset Management - Income,103.3608871,0,0.68,"$632,614,562.00 ",0,0,0.005927135,"$4,161,902.19 ",
2714,CCD,Calamos Dynamic Convertible & Income Fund (CEF-Fin),Financial Services,Asset Management - Income,14.18604651,0,1.0632684,"$628,173,995.00 ",0,0,0.962250431,"$47,082,713.15 ",
2718,EU,enCore Energy Corp. (Uranium),Energy,Uranium,-11.47655703,0,1.191,"$625,542,750.00 ",0,0,0,"($64,916,805.04)",
2724,CION,CION Investment Corp (BDC),Financial Services,Asset Management,6.167553191,0,1.137,"$617,850,497.00 ",0,0,0.80568621,"$113,901,898.10 ",
2726,GLAD,GLADSTONE CAPITAL CORP (BDC),Financial Services,Asset Management,9.519031142,0,1.251,"$617,645,034.00 ",0,0,0.457851367,"$81,171,489.62 ",
2727,MHD,"BLACKROCK MUNIHOLDINGS FUND, INC. (CEF-Financial)",Financial Services,Asset Management,-50.93336199,0,0.551,"$617,356,544.00 ",0,0,-0.019644386,"($6,678,598.12)",
